Province/State,Country/Region,Lat,Long,Date,Value
,Andorra,42.5063,1.5218,2020-03-10,1
,Andorra,42.5063,1.5218,2020-03-09,1
,Andorra,42.5063,1.5218,2020-03-08,1
,Andorra,42.5063,1.5218,2020-03-07,1
,Andorra,42.5063,1.5218,2020-03-06,1
,Andorra,42.5063,1.5218,2020-03-05,1
,Andorra,42.5063,1.5218,2020-03-04,1
,Andorra,42.5063,1.5218,2020-03-03,1
,Andorra,42.5063,1.5218,2020-03-02,1
,Andorra,42.5063,1.5218,2020-03-01,0
,Andorra,42.5063,1.5218,2020-02-29,0
,Andorra,42.5063,1.5218,2020-02-28,0
,Andorra,42.5063,1.5218,2020-02-27,0
,Andorra,42.5063,1.5218,2020-02-26,0
,Andorra,42.5063,1.5218,2020-02-25,0
,Andorra,42.5063,1.5218,2020-02-24,0
,Andorra,42.5063,1.5218,2020-02-23,0
,Andorra,42.5063,1.5218,2020-02-22,0
,Andorra,42.5063,1.5218,2020-02-21,0
,Andorra,42.5063,1.5218,2020-02-20,0
,Andorra,42.5063,1.5218,2020-02-19,0
,Andorra,42.5063,1.5218,2020-02-18,0
,Andorra,42.5063,1.5218,2020-02-17,0
,Andorra,42.5063,1.5218,2020-02-16,0
,Andorra,42.5063,1.5218,2020-02-15,0
,Andorra,42.5063,1.5218,2020-02-14,0
,Andorra,42.5063,1.5218,2020-02-13,0
,Andorra,42.5063,1.5218,2020-02-12,0
,Andorra,42.5063,1.5218,2020-02-11,0
,Andorra,42.5063,1.5218,2020-02-10,0
,Andorra,42.5063,1.5218,2020-02-09,0
,Andorra,42.5063,1.5218,2020-02-08,0
,Andorra,42.5063,1.5218,2020-02-07,0
,Andorra,42.5063,1.5218,2020-02-06,0
,Andorra,42.5063,1.5218,2020-02-05,0
,Andorra,42.5063,1.5218,2020-02-04,0
,Andorra,42.5063,1.5218,2020-02-03,0
,Andorra,42.5063,1.5218,2020-02-02,0
,Andorra,42.5063,1.5218,2020-02-01,0
,Andorra,42.5063,1.5218,2020-01-31,0
,Andorra,42.5063,1.5218,2020-01-30,0
,Andorra,42.5063,1.5218,2020-01-29,0
,Andorra,42.5063,1.5218,2020-01-28,0
,Andorra,42.5063,1.5218,2020-01-27,0
,Andorra,42.5063,1.5218,2020-01-26,0
,Andorra,42.5063,1.5218,2020-01-25,0
,Andorra,42.5063,1.5218,2020-01-24,0
,Andorra,42.5063,1.5218,2020-01-23,0
,Andorra,42.5063,1.5218,2020-01-22,0
,Angola,-11.2027,17.8739,2020-03-24,3
,Angola,-11.2027,17.8739,2020-03-23,3
,Angola,-11.2027,17.8739,2020-03-22,2
,Angola,-11.2027,17.8739,2020-03-21,2
,Angola,-11.2027,17.8739,2020-03-20,1
,Angola,-11.2027,17.8739,2020-03-19,0
,Angola,-11.2027,17.8739,2020-03-18,0
,Angola,-11.2027,17.8739,2020-03-17,0
,Angola,-11.2027,17.8739,2020-03-16,0
,Angola,-11.2027,17.8739,2020-03-15,0
,Angola,-11.2027,17.8739,2020-03-14,0
,Angola,-11.2027,17.8739,2020-03-13,0
,Angola,-11.2027,17.8739,2020-03-12,0
,Angola,-11.2027,17.8739,2020-03-11,0
,Angola,-11.2027,17.8739,2020-03-10,0
,Angola,-11.2027,17.8739,2020-03-09,0
,Angola,-11.2027,17.8739,2020-03-08,0
,Angola,-11.2027,17.8739,2020-03-07,0
,Angola,-11.2027,17.8739,2020-03-06,0
,Angola,-11.2027,17.8739,2020-03-05,0
,Angola,-11.2027,17.8739,2020-03-04,0
,Angola,-11.2027,17.8739,2020-03-03,0
,Angola,-11.2027,17.8739,2020-03-02,0
,Angola,-11.2027,17.8739,2020-03-01,0
,Angola,-11.2027,17.8739,2020-02-29,0
,Angola,-11.2027,17.8739,2020-02-28,0
,Angola,-11.2027,17.8739,2020-02-27,0
,Angola,-11.2027,17.8739,2020-02-26,0
,Angola,-11.2027,17.8739,2020-02-25,0
,Angola,-11.2027,17.8739,2020-02-24,0
,Angola,-11.2027,17.8739,2020-02-23,0
,Angola,-11.2027,17.8739,2020-02-22,0
,Angola,-11.2027,17.8739,2020-02-21,0
,Angola,-11.2027,17.8739,2020-02-20,0
,Angola,-11.2027,17.8739,2020-02-19,0
,Angola,-11.2027,17.8739,2020-02-18,0
,Angola,-11.2027,17.8739,2020-02-17,0
,Angola,-11.2027,17.8739,2020-02-16,0
,Angola,-11.2027,17.8739,2020-02-15,0
,Angola,-11.2027,17.8739,2020-02-14,0
,Angola,-11.2027,17.8739,2020-02-13,0
,Angola,-11.2027,17.8739,2020-02-12,0
,Angola,-11.2027,17.8739,2020-02-11,0
,Angola,-11.2027,17.8739,2020-02-10,0
,Angola,-11.2027,17.8739,2020-02-09,0
,Angola,-11.2027,17.8739,2020-02-08,0
,Angola,-11.2027,17.8739,2020-02-07,0
,Angola,-11.2027,17.8739,2020-02-06,0
,Angola,-11.2027,17.8739,2020-02-05,0
,Angola,-11.2027,17.8739,2020-02-04,0
,Angola,-11.2027,17.8739,2020-02-03,0
,Angola,-11.2027,17.8739,2020-02-02,0
,Angola,-11.2027,17.8739,2020-02-01,0
,Angola,-11.2027,17.8739,2020-01-31,0
,Angola,-11.2027,17.8739,2020-01-30,0
,Angola,-11.2027,17.8739,2020-01-29,0
,Angola,-11.2027,17.8739,2020-01-28,0
,Angola,-11.2027,17.8739,2020-01-27,0
,Angola,-11.2027,17.8739,2020-01-26,0
,Angola,-11.2027,17.8739,2020-01-25,0
,Angola,-11.2027,17.8739,2020-01-24,0
,Angola,-11.2027,17.8739,2020-01-23,0
,Angola,-11.2027,17.8739,2020-01-22,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-24,3
,Antigua and Barbuda,17.0608,-61.7964,2020-03-23,3
,Antigua and Barbuda,17.0608,-61.7964,2020-03-22,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-21,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-20,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-19,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-18,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-17,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-16,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-15,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-14,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-13,1
,Antigua and Barbuda,17.0608,-61.7964,2020-03-12,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-11,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-10,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-09,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-08,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-07,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-06,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-05,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-04,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-03,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-02,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-01,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-29,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-28,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-27,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-26,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-25,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-24,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-23,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-22,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-21,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-20,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-19,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-18,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-17,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-16,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-15,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-14,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-13,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-12,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-11,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-10,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-09,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-08,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-07,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-06,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-05,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-04,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-03,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-02,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-01,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-31,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-30,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-29,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-28,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-27,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-26,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-25,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-24,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-23,0
,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0
,Argentina,-38.4161,-63.6167,2020-03-24,387
,Argentina,-38.4161,-63.6167,2020-03-23,301
,Argentina,-38.4161,-63.6167,2020-03-22,266
,Argentina,-38.4161,-63.6167,2020-03-21,158
,Argentina,-38.4161,-63.6167,2020-03-20,128
,Argentina,-38.4161,-63.6167,2020-03-19,97
,Argentina,-38.4161,-63.6167,2020-03-18,79
,Argentina,-38.4161,-63.6167,2020-03-17,68
,Argentina,-38.4161,-63.6167,2020-03-16,56
,Argentina,-38.4161,-63.6167,2020-03-15,45
,Argentina,-38.4161,-63.6167,2020-03-14,34
,Argentina,-38.4161,-63.6167,2020-03-13,31
,Argentina,-38.4161,-63.6167,2020-03-12,19
,Argentina,-38.4161,-63.6167,2020-03-11,19
,Argentina,-38.4161,-63.6167,2020-03-10,17
,Argentina,-38.4161,-63.6167,2020-03-09,12
,Argentina,-38.4161,-63.6167,2020-03-08,12
,Argentina,-38.4161,-63.6167,2020-03-07,8
,Argentina,-38.4161,-63.6167,2020-03-06,2
,Argentina,-38.4161,-63.6167,2020-03-05,1
,Argentina,-38.4161,-63.6167,2020-03-04,1
,Argentina,-38.4161,-63.6167,2020-03-03,1
,Argentina,-38.4161,-63.6167,2020-03-02,0
,Argentina,-38.4161,-63.6167,2020-03-01,0
,Argentina,-38.4161,-63.6167,2020-02-29,0
,Argentina,-38.4161,-63.6167,2020-02-28,0
,Argentina,-38.4161,-63.6167,2020-02-27,0
,Argentina,-38.4161,-63.6167,2020-02-26,0
,Argentina,-38.4161,-63.6167,2020-02-25,0
,Argentina,-38.4161,-63.6167,2020-02-24,0
,Argentina,-38.4161,-63.6167,2020-02-23,0
,Argentina,-38.4161,-63.6167,2020-02-22,0
,Argentina,-38.4161,-63.6167,2020-02-21,0
,Argentina,-38.4161,-63.6167,2020-02-20,0
,Argentina,-38.4161,-63.6167,2020-02-19,0
,Argentina,-38.4161,-63.6167,2020-02-18,0
,Argentina,-38.4161,-63.6167,2020-02-17,0
,Argentina,-38.4161,-63.6167,2020-02-16,0
,Argentina,-38.4161,-63.6167,2020-02-15,0
,Argentina,-38.4161,-63.6167,2020-02-14,0
,Argentina,-38.4161,-63.6167,2020-02-13,0
,Argentina,-38.4161,-63.6167,2020-02-12,0
,Argentina,-38.4161,-63.6167,2020-02-11,0
,Argentina,-38.4161,-63.6167,2020-02-10,0
,Argentina,-38.4161,-63.6167,2020-02-09,0
,Argentina,-38.4161,-63.6167,2020-02-08,0
,Argentina,-38.4161,-63.6167,2020-02-07,0
,Argentina,-38.4161,-63.6167,2020-02-06,0
,Argentina,-38.4161,-63.6167,2020-02-05,0
,Argentina,-38.4161,-63.6167,2020-02-04,0
,Argentina,-38.4161,-63.6167,2020-02-03,0
,Argentina,-38.4161,-63.6167,2020-02-02,0
,Argentina,-38.4161,-63.6167,2020-02-01,0
,Argentina,-38.4161,-63.6167,2020-01-31,0
,Argentina,-38.4161,-63.6167,2020-01-30,0
,Argentina,-38.4161,-63.6167,2020-01-29,0
,Argentina,-38.4161,-63.6167,2020-01-28,0
,Argentina,-38.4161,-63.6167,2020-01-27,0
,Argentina,-38.4161,-63.6167,2020-01-26,0
,Argentina,-38.4161,-63.6167,2020-01-25,0
,Argentina,-38.4161,-63.6167,2020-01-24,0
,Argentina,-38.4161,-63.6167,2020-01-23,0
,Argentina,-38.4161,-63.6167,2020-01-22,0
,Armenia,40.0691,45.0382,2020-03-24,249
,Armenia,40.0691,45.0382,2020-03-23,235
,Armenia,40.0691,45.0382,2020-03-22,194
,Armenia,40.0691,45.0382,2020-03-21,160
,Armenia,40.0691,45.0382,2020-03-20,136
,Armenia,40.0691,45.0382,2020-03-19,115
,Armenia,40.0691,45.0382,2020-03-18,84
,Armenia,40.0691,45.0382,2020-03-17,78
,Armenia,40.0691,45.0382,2020-03-16,52
,Armenia,40.0691,45.0382,2020-03-15,26
,Armenia,40.0691,45.0382,2020-03-14,18
,Armenia,40.0691,45.0382,2020-03-13,8
,Armenia,40.0691,45.0382,2020-03-12,4
,Armenia,40.0691,45.0382,2020-03-11,1
,Armenia,40.0691,45.0382,2020-03-10,1
,Armenia,40.0691,45.0382,2020-03-09,1
,Armenia,40.0691,45.0382,2020-03-08,1
,Armenia,40.0691,45.0382,2020-03-07,1
,Armenia,40.0691,45.0382,2020-03-06,1
,Armenia,40.0691,45.0382,2020-03-05,1
,Armenia,40.0691,45.0382,2020-03-04,1
,Armenia,40.0691,45.0382,2020-03-03,1
,Armenia,40.0691,45.0382,2020-03-02,1
,Armenia,40.0691,45.0382,2020-03-01,1
,Armenia,40.0691,45.0382,2020-02-29,0
,Armenia,40.0691,45.0382,2020-02-28,0
,Armenia,40.0691,45.0382,2020-02-27,0
,Armenia,40.0691,45.0382,2020-02-26,0
,Armenia,40.0691,45.0382,2020-02-25,0
,Armenia,40.0691,45.0382,2020-02-24,0
,Armenia,40.0691,45.0382,2020-02-23,0
,Armenia,40.0691,45.0382,2020-02-22,0
,Armenia,40.0691,45.0382,2020-02-21,0
,Armenia,40.0691,45.0382,2020-02-20,0
,Armenia,40.0691,45.0382,2020-02-19,0
,Armenia,40.0691,45.0382,2020-02-18,0
,Armenia,40.0691,45.0382,2020-02-17,0
,Armenia,40.0691,45.0382,2020-02-16,0
,Armenia,40.0691,45.0382,2020-02-15,0
,Armenia,40.0691,45.0382,2020-02-14,0
,Armenia,40.0691,45.0382,2020-02-13,0
,Armenia,40.0691,45.0382,2020-02-12,0
,Armenia,40.0691,45.0382,2020-02-11,0
,Armenia,40.0691,45.0382,2020-02-10,0
,Armenia,40.0691,45.0382,2020-02-09,0
,Armenia,40.0691,45.0382,2020-02-08,0
,Armenia,40.0691,45.0382,2020-02-07,0
,Armenia,40.0691,45.0382,2020-02-06,0
,Armenia,40.0691,45.0382,2020-02-05,0
,Armenia,40.0691,45.0382,2020-02-04,0
,Armenia,40.0691,45.0382,2020-02-03,0
,Armenia,40.0691,45.0382,2020-02-02,0
,Armenia,40.0691,45.0382,2020-02-01,0
,Armenia,40.0691,45.0382,2020-01-31,0
,Armenia,40.0691,45.0382,2020-01-30,0
,Armenia,40.0691,45.0382,2020-01-29,0
,Armenia,40.0691,45.0382,2020-01-28,0
,Armenia,40.0691,45.0382,2020-01-27,0
,Armenia,40.0691,45.0382,2020-01-26,0
,Armenia,40.0691,45.0382,2020-01-25,0
,Armenia,40.0691,45.0382,2020-01-24,0
,Armenia,40.0691,45.0382,2020-01-23,0
,Armenia,40.0691,45.0382,2020-01-22,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-24,39
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-23,32
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-22,19
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-21,9
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-20,6
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-19,4
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-18,3
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-17,2
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-16,2
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-15,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-14,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-13,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-12,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-11,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-10,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-09,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-08,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-07,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-06,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-05,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-04,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-03,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-02,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-01,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-29,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-28,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-27,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-26,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-25,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-24,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-23,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-22,0
